OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,DepDel15,WindSpeed,SeaLevelPressure,HourlyPrecip
ATL,5,14,10,2,DL,LGA,0,7,30,0
LGA,5,17,17,5,AA,MIA,0,5,30,0
MDW,5,6,20,1,WN,MSP,0,8,30,0
ABQ,5,2,10,4,WN,MCI,0,10,30,0
ORD,5,27,12,1,OO,MSP,0,9,29,0
TPA,5,4,7,6,UA,DEN,0,5,29,0
ORD,5,31,11,5,EV,RDU,1,15,29,0
JFK,5,8,18,3,B6,SJC,0,8,30,0
PHX,5,27,11,1,WN,SDF,0,7,29,0
JFK,5,11,12,6,B6,PBI,0,23,29,0
LAX,5,27,8,1,OO,SAN,0,6,29,0
EWR,5,22,8,3,EV,ORF,0,3,29,0
SJU,5,22,6,3,B6,TPA,0,18,29,0
ATL,5,24,16,5,DL,MSP,0,14,30,0
IND,5,18,6,6,MQ,MIA,0,3,30,0
SEA,5,29,10,3,DL,SLC,1,6,29,0
MSP,5,19,17,7,OO,BNA,1,9,29,0
PHL,5,1,8,3,US,MSP,0,11,30,0
OMA,5,9,16,4,AA,DFW,1,17,29,0
AUS,5,31,20,5,WN,SAN,0,13,29,0
JFK,5,14,14,2,EV,IAD,0,9,30,0
ORD,5,15,16,3,MQ,OKC,0,10,29,0
IAD,5,17,11,5,AA,LAX,0,5,30,0
AUS,5,16,6,4,9E,MEM,0,11,29,0
IAD,5,3,8,5,UA,SFO,1,6,30,0
SAT,5,22,6,3,DL,ATL,0,0,29,0
MDW,5,30,16,4,WN,PHL,1,11,29,0
OAK,5,23,13,4,WN,HOU,1,14,30,0
JFK,5,19,13,7,DL,ATL,1,15,30,0
LGA,5,7,8,2,US,CLT,0,9,29,0
SJC,5,17,13,5,WN,MDW,0,11,30,0
SEA,5,30,18,4,AS,LAX,0,15,30,0
MCO,5,17,17,5,B6,SJU,0,16,30,0
RNO,5,28,14,2,OO,LAX,0,10,29,0
TPA,5,8,8,3,WN,PHL,0,5,30,0
LAS,5,17,13,5,AA,DFW,0,21,29,0
MIA,5,25,20,6,AA,DTW,0,13,30,0
MEM,5,8,17,3,DL,DTW,0,7,30,0
ATL,5,25,17,6,MQ,ORD,0,7,30,0
JFK,5,12,16,7,DL,MIA,1,28,29,0
RDU,5,1,9,3,WN,MCO,0,10,30,0
JFK,5,12,16,7,VX,SFO,1,28,29,0
LAS,5,17,20,5,AS,SEA,0,17,29,0
IAH,5,1,17,3,US,PHL,0,0,29,0
PHX,5,9,11,4,WN,BUR,0,3,29,0
ORD,5,10,12,5,9E,JFK,1,16,29,0
PHL,5,6,13,1,US,ORD,0,10,29,0
LAX,5,29,21,3,AA,JFK,0,5,29,0
MSP,5,21,21,2,DL,OMA,0,8,29,0
BWI,5,23,19,4,DL,MSP,1,5,29,0
ATL,5,4,16,6,DL,IND,0,8,29,0
JFK,5,3,12,5,AA,LAX,0,13,30,0
MKE,5,27,14,1,WN,BWI,0,17,29,0
LAS,5,8,21,3,WN,PHX,1,7,29,0
MSP,5,23,16,4,EV,IAH,1,9,30,0
STL,5,2,8,4,WN,DCA,0,7,29,0
LAS,5,24,17,5,WN,BWI,1,18,29,0
ATL,5,27,10,1,DL,HNL,0,0,30,0
LGA,5,7,10,2,DL,ATL,0,11,29,0
LAX,5,30,23,4,UA,CLE,0,7,29,0
LAX,5,12,5,7,DL,DTW,0,0,30,0
JAX,5,3,10,5,US,PHL,0,22,29,0
OGG,5,9,12,4,YV,HNL,1,9,30,0
MSY,5,11,6,6,AA,MIA,1,14,29,0
CLT,5,3,7,5,US,SFO,1,15,30,0
ANC,5,15,10,3,AS,PDX,0,7,29,0
ORD,5,18,12,6,EV,OKC,0,8,30,0
OMA,5,22,16,3,WN,LAS,0,17,29,0
MSY,5,10,7,5,OO,SLC,1,16,29,0
SDF,5,4,10,6,MQ,DFW,0,16,29,0
JFK,5,2,19,4,EV,IAD,1,6,30,0
ATL,5,14,17,2,DL,MCI,0,11,30,0
PDX,5,30,7,4,WN,PHX,0,6,30,0
SFO,5,24,20,5,AS,SEA,0,22,29,0
IAD,5,24,8,5,B6,OAK,0,20,29,0
PHL,5,3,17,5,US,AUS,1,9,30,0
PHX,5,7,8,2,US,DFW,0,5,29,0
ORD,5,10,21,5,YV,BUF,1,7,29,0
BWI,5,17,6,5,WN,TPA,0,0,30,0
LAX,5,7,8,2,UA,SFO,0,3,30,0
DTW,5,9,19,4,DL,BNA,0,7,29,0
MDW,5,5,13,7,WN,ATL,0,15,29,0
SFO,5,27,16,1,VX,LAS,1,13,29,0
CLT,5,24,12,5,DL,ATL,1,16,30,0
BWI,5,30,20,4,WN,SDF,0,3,30,0
MCO,5,11,15,6,US,CLT,0,23,29,0
LAX,5,30,21,4,WN,TUS,0,5,29,0
EWR,5,8,20,3,EV,DCA,1,5,30,0
IND,5,7,11,2,OO,ORD,1,6,29,0
IAD,5,21,17,2,EV,LGA,0,7,29,0
SFO,5,17,20,5,UA,SNA,0,17,30,0
JFK,5,12,19,7,DL,SFO,0,26,29,0
ORD,5,17,15,5,EV,CLT,0,14,30,0
SAT,5,19,16,7,DL,ATL,1,17,29,0
BOS,5,9,6,4,FL,ATL,0,5,30,0
SFO,5,29,15,3,B6,AUS,1,21,29,0
CMH,5,12,9,7,MQ,LGA,0,15,30,0
ATL,5,9,12,4,DL,DCA,0,3,30,0
BWI,5,1,9,3,WN,SEA,0,10,30,0
ATL,5,18,9,6,DL,JAX,0,8,30,0
MKE,5,28,8,2,EV,CLE,1,5,29,0
STL,5,12,7,7,AA,ORD,0,7,30,0
ATL,5,3,15,5,DL,DFW,0,16,30,0
CLE,5,22,20,3,OO,ORD,0,10,29,0
SFO,5,10,19,5,WN,LAX,0,15,30,0
SNA,5,23,21,4,WN,SFO,0,5,29,0
DTW,5,12,12,7,DL,LGA,0,16,29,0
ATL,5,7,21,2,EV,CLE,1,7,29,0
SFO,5,27,19,1,UA,HNL,0,3,30,0
MDW,5,25,19,6,WN,RSW,0,7,30,0
BWI,5,3,14,5,WN,SAT,0,13,30,0
IAD,5,18,19,6,UA,SFO,0,8,30,0
SJC,5,28,10,2,AA,DFW,0,8,30,0
TPA,5,7,8,2,US,CLT,1,8,30,0
BUR,5,19,21,7,WN,OAK,0,7,29,0
PIT,5,12,11,7,WN,MDW,0,15,29,0
CLT,5,16,6,4,US,LGA,0,3,29,0
MDW,5,13,8,1,WN,OMA,0,0,30,0
SLC,5,29,6,3,OO,DEN,0,7,29,0
MSP,5,6,13,1,WN,MDW,0,3,30,0
JFK,5,28,16,2,AA,BOS,0,7,30,0
ORD,5,14,21,2,EV,RIC,0,8,29,0
LGA,5,19,7,7,AA,MIA,0,6,29,0
LGA,5,6,13,1,MQ,CLT,0,8,30,0
MSY,5,1,12,3,WN,DAL,1,6,29,0
LAX,5,1,8,3,WN,HOU,0,3,29,0
MSY,5,27,17,1,WN,BWI,0,14,30,0
RDU,5,7,6,2,B6,JFK,0,0,29,0
MKE,5,14,18,2,OO,ORD,0,11,29,0
EWR,5,5,8,7,EV,MCI,0,8,29,0
SAN,5,13,7,1,AA,DFW,0,0,29,0
LAX,5,4,9,6,OO,LAS,0,14,29,0
SMF,5,28,11,2,WN,PHX,0,5,29,0
ATL,5,18,15,6,DL,EWR,0,8,30,0
BNA,5,10,8,5,AA,DFW,0,7,29,0
LGB,5,16,20,4,B6,JFK,0,5,29,0
IND,5,31,13,5,9E,MSP,0,14,29,0
STL,5,23,6,4,DL,MSP,0,11,29,0
SLC,5,5,9,7,DL,CVG,0,3,29,0
MCO,5,21,13,2,FL,IND,1,13,30,0
ATL,5,29,7,3,US,CLT,0,6,29,0
LAS,5,15,16,3,US,PHX,0,15,29,0
SEA,5,15,14,3,AS,DCA,0,10,30,0
SFO,5,16,13,4,UA,BOS,0,20,30,0
PDX,5,8,18,3,WN,SLC,0,7,30,0
BWI,5,7,21,2,FL,BOS,1,15,29,0
RDU,5,22,6,3,B6,JFK,0,11,30,0
SEA,5,19,7,7,DL,SLC,0,8,30,0
DTW,5,7,17,2,DL,MSP,0,11,29,0
LAX,5,29,8,3,AA,ORD,0,0,29,0
LAS,5,30,17,4,WN,MDW,1,10,29,0
IND,5,7,6,2,WN,BWI,0,0,29,0
LAX,5,19,16,7,WN,LAS,1,10,29,0
PHX,5,28,10,2,WN,EWR,1,0,29,0
BWI,5,9,12,4,UA,IAH,1,9,29,0
DAL,5,21,18,2,WN,HOU,1,7,29,0
FLL,5,22,6,3,WN,MDW,0,15,29,0
PDX,5,16,10,4,WN,AUS,0,0,29,0
MCO,5,15,17,3,AA,DFW,0,11,30,0
PHL,5,3,9,5,DL,DTW,0,14,30,0
BOS,5,24,17,5,DL,SLC,0,7,29,0
ORD,5,11,6,6,UA,DCA,0,9,29,0
PHL,5,23,15,4,US,CLT,0,16,29,0
SLC,5,11,11,6,DL,ATL,0,3,30,0
HOU,5,27,11,1,WN,SAT,0,16,30,0
ORD,5,28,9,2,UA,SAN,0,10,29,0
TPA,5,11,20,6,FL,ATL,0,6,30,0
SAN,5,29,13,3,UA,IAD,0,9,29,0
AUS,5,11,12,6,AA,DFW,0,15,30,0
EWR,5,20,6,1,UA,TPA,0,0,29,0
MEM,5,5,19,7,EV,RDU,1,11,29,0
OAK,5,28,21,2,WN,PHX,0,6,29,0
AUS,5,2,18,4,OO,SLC,0,22,30,0
SLC,5,2,9,4,DL,MCO,0,3,30,0
IAH,5,16,15,4,UA,PHX,0,20,29,0
ORF,5,1,9,3,DL,ATL,0,18,29,0
MSY,5,2,10,4,EV,CVG,1,10,29,0
SAT,5,30,6,4,AA,DFW,0,11,29,0
MDW,5,14,13,2,WN,LAX,1,8,29,0
JFK,5,10,18,5,UA,SFO,0,18,29,0
LAS,5,7,18,2,WN,PHX,0,6,29,0
LGA,5,20,6,1,US,CLT,0,5,30,0
STL,5,31,20,5,WN,DAL,0,7,29,0
SMF,5,14,7,2,WN,BUR,0,0,29,0
HOU,5,24,10,5,WN,DEN,0,9,29,0
MSP,5,11,13,6,US,PHL,1,25,30,0
SLC,5,28,18,2,F9,DEN,1,7,29,0
CLE,5,4,7,6,MQ,LGA,0,14,30,0
STL,5,7,8,2,WN,MKE,0,0,30,0
ATL,5,5,22,7,FL,JAX,0,6,29,0
STL,5,22,19,3,WN,SDF,1,14,29,0
ATL,5,31,17,5,FL,LGA,0,11,30,0
PHL,5,20,7,1,WN,LAS,0,3,29,0
AUS,5,25,10,6,EV,IAH,0,6,30,0
SFO,5,8,13,3,AA,DFW,1,14,30,0
HNL,5,7,8,2,HA,LAX,0,0,29,0
LGA,5,29,7,3,DL,ATL,0,3,30,0
PIT,5,22,17,3,MQ,MIA,1,17,29,0
PHX,5,12,18,7,WN,OMA,0,0,29,0
LAX,5,20,22,1,UA,IAD,0,5,29,0
PDX,5,12,19,7,OO,SEA,0,3,30,0
SFO,5,23,14,4,VX,SEA,0,17,30,0
HOU,5,16,11,4,WN,SAT,0,15,29,0
FLL,5,24,6,5,B6,LGA,0,5,30,0
ORD,5,18,18,6,OO,SLC,0,11,29,0
AUS,5,2,20,4,WN,DAL,1,25,30,0
CLT,5,18,18,6,US,PIT,0,6,30,0
LGA,5,19,14,7,B6,FLL,1,13,30,0
TPA,5,29,6,3,AA,MIA,0,3,30,0
SEA,5,24,7,5,AA,JFK,0,0,29,0
DTW,5,10,8,5,DL,DEN,0,15,29,0
OKC,5,10,17,5,OO,SLC,1,15,30,0
PHX,5,14,17,2,OO,BUR,0,16,29,0
SDF,5,7,14,2,WN,BWI,0,3,29,0
SFO,5,6,20,1,AS,SEA,0,17,29,0
DCA,5,6,12,1,FL,ATL,0,14,29,0
TPA,5,6,19,1,WN,DEN,0,7,29,0
IND,5,6,8,1,DL,SLC,0,8,29,0
SFO,5,25,9,6,OO,PHX,1,22,30,0
CLT,5,4,7,6,US,RSW,1,14,30,0
JFK,5,31,14,5,9E,BUF,1,15,30,0
CLE,5,28,15,2,9E,MSP,1,16,29,0
ORD,5,20,10,1,UA,DCA,0,21,29,0
PDX,5,9,19,4,AS,SFO,0,10,30,0
PHX,5,21,21,2,WN,LAX,1,5,29,0
RSW,5,21,16,2,DL,DTW,1,14,29,0
LGA,5,1,11,3,DL,MSP,0,15,30,0
FLL,5,31,17,5,FL,BWI,0,15,30,0
SNA,5,13,20,1,WN,LAS,0,8,29,0
MSY,5,29,14,3,WN,STL,1,9,29,0
FLL,5,27,12,1,AA,DFW,0,17,30,0
EWR,5,16,9,4,VX,LAX,0,0,29,0
LAX,5,11,16,6,UA,EWR,0,17,29,0
ATL,5,29,7,3,WN,ORF,0,6,29,0
RNO,5,19,14,7,OO,SFO,0,9,30,0
CLT,5,14,11,2,B6,JFK,0,0,30,0
CLT,5,23,13,4,US,IAH,0,6,29,0
BDL,5,15,13,3,WN,MDW,0,16,29,0
LAX,5,3,11,5,VX,LAS,1,9,29,0
LAS,5,2,9,4,AS,PDX,0,21,30,0
IAH,5,14,8,2,AA,DFW,0,3,29,0
ANC,5,5,10,7,AS,PDX,0,3,30,0
PHL,5,3,20,5,US,TPA,1,9,30,0
ORD,5,5,13,7,AA,MSP,0,15,29,0
ATL,5,31,19,5,DL,AUS,0,13,30,0
PDX,5,6,23,1,UA,ORD,0,0,29,0
SJC,5,17,17,5,WN,ONT,0,15,30,0
MCO,5,28,17,2,B6,DCA,0,20,30,0
STL,5,3,18,5,AA,DFW,1,11,29,0
JFK,5,1,19,3,9E,RDU,0,6,30,0
STL,5,16,10,4,EV,EWR,1,5,29,0
LGB,5,31,12,5,US,PHX,0,9,29,0
IAD,5,2,8,4,UA,ORD,0,10,30,0
ORD,5,11,11,6,YV,ATL,1,16,29,0
ORD,5,3,9,5,UA,PHX,0,13,30,0
MIA,5,27,11,1,DL,ATL,0,20,30,0
IAD,5,11,17,6,9E,JFK,0,5,29,0
CLT,5,10,18,5,US,FLL,0,6,29,0
DAL,5,26,16,7,WN,MCI,0,16,29,0
AUS,5,15,17,3,WN,PDX,0,18,29,0
TPA,5,3,9,5,WN,BNA,0,8,29,0
DTW,5,10,7,5,US,PHX,0,11,29,0
AUS,5,20,6,1,YV,PHX,0,6,29,0
EWR,5,21,7,2,UA,SNA,0,9,29,0
IND,5,31,19,5,FL,ATL,0,14,29,0
OMA,5,18,6,6,EV,DTW,0,8,29,0
ORF,5,6,17,1,DL,ATL,1,10,29,0
JFK,5,25,15,6,9E,IND,0,33,29,0
LGA,5,28,14,2,AA,MIA,1,8,30,0
BOS,5,29,15,3,EV,RDU,0,8,29,0
MSP,5,31,19,5,DL,MCI,0,0,29,0
LAX,5,12,6,7,UA,BOS,0,0,30,0
CLT,5,11,8,6,MQ,LGA,0,13,29,0
SAN,5,8,19,3,WN,PHX,0,8,30,0
CLT,5,2,17,4,US,PHX,1,10,29,0
BOS,5,29,7,3,B6,BUF,0,3,30,0
SEA,5,26,6,7,AA,DFW,0,5,29,0
SFO,5,11,6,6,OO,ONT,0,8,30,0
BWI,5,30,17,4,WN,MCO,0,8,30,0
PIT,5,1,17,3,B6,BOS,0,9,30,0
HOU,5,12,6,7,EV,ATL,0,10,30,0
LAX,5,25,6,6,UA,EWR,0,6,29,0
LAX,5,2,9,4,DL,MSY,0,8,30,0
SMF,5,9,19,4,US,PHX,0,11,30,0
SLC,5,30,18,4,WN,LAX,0,7,29,0
MIA,5,26,12,7,AA,LAX,0,18,30,0
BOS,5,19,7,7,UA,ORD,0,7,29,0
BOS,5,16,8,4,UA,ORD,0,9,29,0
IND,5,31,9,5,DL,MSP,0,8,29,0
IAD,5,18,8,6,YV,MIA,0,7,30,0
LAS,5,24,17,5,UA,DEN,0,18,29,0
BOS,5,3,12,5,B6,EWR,0,15,30,0
JFK,5,11,9,6,B6,AUS,0,20,29,0
PHX,5,19,6,7,UA,EWR,0,8,29,0
DCA,5,12,14,7,DL,MSP,0,13,29,0
SLC,5,16,11,4,DL,SFO,1,7,29,0
HOU,5,22,13,3,WN,AUS,0,6,29,0
OMA,5,14,14,2,MQ,ORD,1,20,29,0
FLL,5,20,15,1,FL,CMH,1,0,30,0
LAX,5,5,18,7,WN,PHX,1,10,29,0
TPA,5,1,16,3,FL,MKE,0,0,29,0
LGA,5,6,6,1,DL,ATL,0,6,30,0
DCA,5,12,11,7,DL,ATL,0,14,29,0
FLL,5,3,6,5,WN,JAX,0,0,29,0
SJC,5,7,15,2,WN,SAN,0,11,29,0
TPA,5,23,18,4,UA,IAD,1,9,29,0
LGA,5,24,19,5,WN,MKE,1,17,29,0
ORD,5,17,18,5,UA,LAS,0,10,30,0
SEA,5,14,14,2,AS,SAN,0,10,30,0
LAS,5,8,14,3,WN,MDW,0,0,29,0
DAL,5,21,18,2,WN,HOU,1,13,29,0
MSP,5,21,6,2,DL,DTW,0,8,29,0
SFO,5,10,12,5,OO,RNO,0,22,30,0
BOS,5,21,6,2,FL,ATL,0,6,29,0
FLL,5,7,9,2,DL,ATL,0,5,30,0
SMF,5,4,15,6,WN,PHX,0,14,29,0
CLT,5,31,7,5,DL,ATL,0,7,30,0
ATL,5,18,19,6,DL,MIA,0,8,30,0
LAS,5,16,12,4,WN,SMF,0,16,29,0
DTW,5,24,15,5,9E,ORF,0,11,30,0
BNA,5,14,5,2,EV,EWR,0,5,30,0
MCO,5,7,8,2,WN,SAT,0,7,30,0
TPA,5,3,19,5,AA,MIA,0,8,29,0
SLC,5,20,9,1,DL,BWI,0,9,30,0
FLL,5,25,19,6,AA,ORD,0,15,30,0
LAS,5,8,18,3,WN,ABQ,0,7,29,0
LAS,5,13,23,1,DL,DTW,0,8,29,0
LAX,5,26,13,7,OO,SMF,0,13,30,0
JFK,5,17,12,5,AA,LAX,0,13,30,0
PHX,5,26,8,7,US,EWR,0,9,29,0
RSW,5,2,6,4,US,PHL,0,5,29,0
MCO,5,30,11,4,UA,ORD,0,20,30,0
OMA,5,14,19,2,MQ,ORD,0,17,29,0
LAX,5,19,11,7,WN,HOU,0,13,29,0
SAN,5,9,22,4,US,CLT,0,3,30,0
TPA,5,14,10,2,FL,BUF,0,7,30,0
ATL,5,9,10,4,DL,PIT,0,9,30,0
MSP,5,31,11,5,DL,ATL,0,17,29,0
DCA,5,16,9,4,UA,ORD,0,6,29,0
SLC,5,7,13,2,WN,LAS,0,11,29,0
LGA,5,7,20,2,EV,RIC,0,11,30,0
BOS,5,22,18,3,US,PHL,1,10,29,0
BOS,5,1,11,3,US,DCA,0,7,30,0
MSY,5,18,5,6,UA,IAH,0,6,29,0
PHX,5,8,18,3,US,MCI,0,3,29,0
ATL,5,26,12,7,DL,DCA,0,7,30,0
LAX,5,5,7,7,VX,SEA,0,9,29,0
LAX,5,5,15,7,F9,DEN,0,10,29,0
IAD,5,21,8,2,EV,BNA,0,7,29,0
SFO,5,6,12,1,UA,SAN,0,9,29,0
SAT,5,24,12,5,DL,ATL,0,18,29,0
LAS,5,22,7,3,AA,LAX,0,14,29,0
EWR,5,22,20,3,EV,DTW,0,5,29,0
MSP,5,17,15,5,WN,PHX,1,9,29,0
MIA,5,31,21,5,AA,PHL,0,3,30,0
LAS,5,6,18,1,WN,SAN,0,13,29,0
ATL,5,27,6,1,AA,DFW,0,0,30,0
ATL,5,19,11,7,YV,IAD,0,7,30,0
ATL,5,7,10,2,DL,PIT,0,0,29,0
TUS,5,1,8,3,YV,PHX,1,6,29,0
BUR,5,14,15,2,WN,LAS,0,11,29,0
DCA,5,12,21,7,MQ,BNA,0,9,30,0
CLT,5,31,8,5,DL,ATL,0,7,30,0
MSY,5,5,16,7,UA,SFO,0,14,29,0
DTW,5,10,10,5,9E,PHL,1,20,29,0
ATL,5,6,12,1,DL,JFK,0,5,29,0
PDX,5,1,11,3,WN,LAS,0,10,30,0
PHL,5,9,9,4,US,IAH,0,0,29,0
LGA,5,12,14,7,US,CLT,0,22,29,0
BOS,5,26,11,7,US,DCA,0,20,29,0
MDW,5,10,10,5,WN,LAS,0,14,29,0
IAD,5,28,19,2,UA,LAX,0,6,30,0
MIA,5,13,11,1,MQ,MEM,0,5,30,0
MIA,5,11,8,6,US,CLT,0,11,30,0
ATL,5,8,19,3,DL,IAD,0,6,30,0
BOS,5,29,12,3,DL,ATL,0,8,30,0
MSP,5,22,9,3,9E,OKC,0,13,29,0
ATL,5,21,14,2,FL,STL,0,6,29,0
CLT,5,21,11,2,US,ATL,0,6,30,0
SAN,5,6,19,1,WN,PHX,0,10,29,0
PIT,5,24,15,5,9E,DTW,0,15,30,0
MCO,5,8,10,3,DL,ATL,0,7,30,0
JFK,5,21,10,2,US,PHX,0,11,29,0
SLC,5,27,15,1,DL,LAS,0,13,29,0
PHL,5,15,17,3,US,SEA,0,14,29,0
HNL,5,10,14,5,UA,LAX,0,10,30,0
MCO,5,13,10,1,UA,EWR,0,14,30,0
EWR,5,22,11,3,UA,IAH,1,0,29,0
ORD,5,26,9,7,UA,OMA,0,3,30,0
PHL,5,1,6,3,9E,MEM,0,8,30,0
SMF,5,20,10,1,WN,LAS,0,18,29,0
BWI,5,13,18,1,US,PHL,0,13,30,0
LAX,5,17,14,5,WN,SJC,1,16,29,0
LAX,5,1,12,3,OO,OKC,0,11,30,0
HNL,5,14,13,2,HA,SAN,0,18,30,0
JFK,5,30,22,4,B6,BOS,0,5,30,0
LGA,5,3,17,5,DL,MCO,0,11,30,0
LAX,5,6,12,1,OO,SAN,0,13,29,0
ORD,5,29,10,3,DL,ATL,0,0,29,0
HNL,5,4,20,6,UA,EWR,0,6,29,0
SNA,5,6,12,1,AA,DFW,0,11,29,0
SJU,5,29,12,3,UA,IAD,0,16,30,0
SAN,5,14,21,2,B6,BOS,0,5,29,0
ORD,5,3,20,5,AA,MSP,1,14,29,0
MCO,5,17,10,5,B6,EWR,0,6,30,0
STL,5,5,9,7,WN,DEN,1,6,29,0
ATL,5,10,10,5,FL,MEM,0,8,30,0
SJC,5,8,18,3,WN,SNA,0,14,30,0
BOS,5,23,8,4,DL,MSP,0,3,29,0
TPA,5,22,15,3,WN,STL,0,13,29,0
PIT,5,1,6,3,DL,ATL,0,5,30,0
EWR,5,24,9,5,VX,LAX,1,20,29,0
SAT,5,10,8,5,AA,DFW,1,13,29,0
JAX,5,22,17,3,US,CLT,0,9,29,0
ATL,5,31,20,5,DL,TUS,0,5,30,0
ORD,5,3,19,5,UA,TPA,1,9,29,0
ATL,5,13,9,1,DL,MCO,0,9,30,0
MCO,5,21,15,2,WN,DEN,0,3,30,0
LAX,5,11,12,6,OO,PHX,0,14,30,0
BOS,5,29,13,3,B6,MSY,0,5,30,0
SMF,5,10,15,5,WN,BUR,0,0,30,0
LAX,5,2,13,4,AA,DFW,0,15,30,0
EWR,5,28,19,2,EV,CLT,1,5,30,0
MEM,5,6,13,1,DL,DTW,0,10,29,0
SAN,5,9,6,4,DL,MSP,0,0,29,0
EWR,5,17,18,5,VX,LAX,1,9,30,0
BOS,5,17,6,5,B6,RIC,0,15,29,0
LAX,5,18,8,6,AA,DFW,0,0,29,0
SLC,5,18,11,6,OO,LGB,0,9,29,0
OKC,5,20,6,1,YV,ORD,0,14,29,0
ABQ,5,16,9,4,OO,DEN,0,6,29,0
SLC,5,28,17,2,AS,SEA,0,9,29,0
OKC,5,7,14,2,WN,HOU,0,11,29,0
ATL,5,6,7,1,DL,BWI,0,5,29,0
RSW,5,19,14,7,US,PHL,0,7,30,0
JFK,5,22,6,3,AA,SJU,0,10,29,0
SNA,5,14,8,2,WN,SFO,0,3,29,0
FLL,5,3,7,5,UA,IAH,1,5,29,0
HOU,5,23,16,4,MQ,DFW,1,7,29,0
JFK,5,20,10,1,DL,SLC,0,6,30,0
JAX,5,4,6,6,B6,JFK,0,17,29,0
OGG,5,13,12,1,AS,SEA,0,23,30,0
MSP,5,4,11,6,DL,LGA,0,13,30,0
TPA,5,24,9,5,B6,SJU,0,7,29,0
ORD,5,30,13,4,EV,SDF,1,20,29,0
BNA,5,15,10,3,EV,IAH,0,9,30,0
CLE,5,9,19,4,EV,ATL,0,6,29,0
CLT,5,29,7,3,US,PHX,0,3,30,0
JFK,5,2,18,4,9E,ORF,0,7,30,0
MCO,5,27,17,1,DL,CVG,0,11,30,0
LAX,5,29,11,3,DL,LAS,0,11,29,0
BNA,5,7,6,2,OO,MSP,0,3,29,0
EWR,5,4,16,6,UA,CLE,0,14,30,0
LGA,5,24,7,5,WN,DEN,0,5,29,0
BUR,5,5,10,7,WN,OAK,0,17,29,0
ORD,5,1,7,3,UA,DEN,0,7,30,0
BWI,5,15,11,3,WN,BOS,0,3,29,0
MSP,5,10,7,5,DL,LGA,0,11,30,0
SLC,5,8,7,3,UA,IAH,0,6,29,0
DAL,5,30,14,4,WN,AUS,0,20,29,0
CLT,5,17,22,5,YV,IAD,0,3,30,0
MCO,5,7,6,2,WN,HOU,0,3,30,0
EWR,5,20,9,1,EV,DCA,0,8,30,0
LAS,5,19,11,7,WN,MCI,0,11,29,0
MDW,5,7,8,2,WN,IAD,0,7,30,0
LAX,5,20,6,1,WN,SJC,0,3,29,0
PHX,5,26,10,7,UA,CLE,0,3,29,0
DCA,5,6,18,1,MQ,RDU,0,11,30,0
DTW,5,22,12,3,DL,MSP,0,15,29,0
LGB,5,24,10,5,OO,SEA,0,9,29,0
RNO,5,14,6,2,WN,DEN,0,5,29,0
BDL,5,6,10,1,DL,ATL,0,0,30,0
BOS,5,22,6,3,B6,RIC,0,8,29,0
HOU,5,14,11,2,WN,DAL,0,10,30,0
LAX,5,21,19,2,OO,LAS,1,11,29,0
LAS,5,14,15,2,UA,IAH,1,20,29,0
PHL,5,17,7,5,US,SEA,0,13,30,0
IAD,5,2,8,4,UA,BOS,0,9,29,0
ATL,5,11,19,6,DL,HOU,0,7,29,0
IAH,5,21,9,2,EV,DFW,0,14,29,0
STL,5,31,19,5,WN,CMH,0,17,29,0
ORD,5,19,10,7,AA,DFW,0,7,29,0
ATL,5,7,7,2,DL,MDW,0,8,29,0
PDX,5,31,11,5,OO,SEA,0,8,30,0
RDU,5,3,9,5,EV,BOS,0,11,30,0
JFK,5,1,10,3,VX,SFO,0,11,30,0
STL,5,19,8,7,WN,EWR,1,13,29,0
FLL,5,31,9,5,FL,ATL,0,17,30,0
PHX,5,18,10,6,US,SNA,0,5,29,0
ATL,5,3,10,5,9E,CLE,0,17,29,0
STL,5,14,13,2,WN,DEN,0,14,29,0
MSY,5,27,6,1,DL,ATL,0,0,30,0
PHX,5,15,18,3,US,IND,0,17,29,0
MSP,5,31,7,5,EV,BNA,0,10,29,0
EWR,5,8,8,3,UA,MCO,1,9,30,0
SLC,5,27,13,1,DL,STL,0,14,29,0
RSW,5,13,10,1,DL,ATL,0,7,30,0
EWR,5,29,19,3,UA,FLL,1,10,29,0
STL,5,7,7,2,US,PHX,0,0,30,0
CMH,5,19,8,7,WN,STL,0,6,30,0
SAT,5,1,17,3,FL,ATL,0,8,29,0
LAX,5,12,11,7,VX,SFO,0,10,29,0
JAX,5,8,17,3,EV,IAH,1,7,30,0
JFK,5,5,10,7,HA,HNL,0,11,30,0
SFO,5,29,10,3,WN,SNA,0,15,29,0
HOU,5,30,7,4,WN,MCI,0,10,29,0
TUS,5,20,15,1,YV,PHX,0,11,29,0
PHL,5,25,7,6,US,ORD,0,20,30,0
SLC,5,8,16,3,OO,RNO,0,18,29,0
PHL,5,6,7,1,US,DFW,0,8,30,0
LGA,5,9,8,4,DL,TPA,0,10,29,0
ATL,5,5,15,7,DL,DFW,0,7,29,0
BOS,5,19,14,7,DL,ATL,1,13,30,0
EWR,5,3,8,5,DL,MSP,0,10,30,0
SNA,5,1,19,3,FL,LAS,1,8,30,0
SFO,5,17,9,5,AS,SEA,0,20,30,0
ATL,5,27,19,1,DL,SJC,0,7,30,0
